Iteration,AES256 Encryption (microseconds),Key Generation (microseconds),Signing (microseconds),Verification (microseconds)
603,123,973961,11703755,33052
604,126,978072,11717597,30656
605,135,976179,11698443,30885
606,130,979675,11711985,31868
607,137,975829,11705874,32640
608,127,982226,11689632,32358
609,131,978364,11713945,26957
610,123,977890,11696728,30545
611,124,979906,11713389,31970
612,123,978778,11736836,31708
613,123,976925,11713121,32624
614,133,976566,11694087,30366
615,130,975757,11694816,31631
616,133,977422,11697660,30284
617,123,975255,11696622,30733
618,138,977175,11699758,31511
619,124,975940,11705628,28840
620,136,978939,11689649,32264
621,131,975999,11706845,32345
622,128,974529,11704928,32682
623,134,977989,11698575,32590
624,123,976001,11705841,32660
625,121,975910,11711847,33394
626,126,977822,11707745,32338
627,136,979815,11715507,31953
628,122,974487,11704950,30993
629,129,974285,11701632,31729
630,128,978203,11712207,32496
631,127,975870,11710807,33183
632,122,977366,11698670,32532
633,121,975573,11719567,31060
634,128,978181,11691413,32294
635,121,973725,11694867,32160
636,136,977014,11710677,29315
637,130,975960,11707733,30456
638,130,978524,11691853,32678
639,129,978569,11692063,30421
640,121,975181,11709422,32812
641,129,976624,11700868,30980
642,123,975521,11712439,32370
643,121,976765,11704972,33446
644,122,975552,11705136,31912
645,122,978324,11701536,31337
646,133,977081,11703242,32054
647,130,975059,11693694,32557
648,122,979327,11714568,32568
649,133,979054,11712225,31472
650,173,974361,11702823,32797
651,136,976768,11728925,30293
652,137,974048,11698585,31917
653,135,978327,11700260,31363
654,127,977528,11701447,30966
655,123,973777,11706961,31480
656,122,976304,11691997,33350
657,124,979058,11719475,35044
658,122,976682,11700051,32723
659,132,979348,11703835,29349
660,136,977643,11707177,29268
661,123,981447,11716179,32969
662,170,977745,11719834,32050
663,122,975622,11702967,31906
664,123,977792,11711410,31841
665,123,975507,11707307,33776
666,126,978882,11703880,32192
667,127,975791,11709563,33743
668,123,979587,11717672,32146
669,122,979454,11694053,32166
670,122,977803,11707707,31291
671,123,979141,11705880,33710
672,121,978661,11701960,32564
673,123,976681,11707634,31924
674,121,979198,11719797,32601
675,125,977730,11704807,30197
676,124,976831,11699765,31650
677,135,976294,11697924,32821
678,122,981051,11696749,31433
679,122,976331,11700210,32353
680,121,978353,11692900,31125
681,123,978665,11694829,31917
682,128,976114,11697000,32558
683,123,975877,11714493,33221
684,124,976156,11685019,32767
685,120,977848,11705535,29209
686,126,974917,11687202,34386
687,122,974900,11702211,32698
