Iteration, Key Generation Time seconds, Shared Secret Time seconds, AES Encryption Time seconds, Key Generation Time seconds, Shared Secret Time seconds, AES Decryption Time seconds
236,0.003003,0.010238,0.000046,0.003003,0.010238,0.000024
237,0.003192,0.010470,0.000047,0.003192,0.010470,0.000025
238,0.003028,0.009994,0.000048,0.003028,0.009994,0.000025
239,0.003141,0.014264,0.000066,0.003141,0.014264,0.000026
240,0.002998,0.010490,0.000044,0.002998,0.010490,0.000024
241,0.003021,0.009776,0.000049,0.003021,0.009776,0.000023
242,0.003025,0.009719,0.000044,0.003025,0.009719,0.000025
243,0.002966,0.010104,0.000054,0.002966,0.010104,0.000025
244,0.003082,0.009817,0.000046,0.003082,0.009817,0.000023
245,0.003223,0.010357,0.000046,0.003223,0.010357,0.000025
246,0.002992,0.010481,0.000047,0.002992,0.010481,0.000023
247,0.003228,0.010229,0.000053,0.003228,0.010229,0.000026
248,0.003159,0.010356,0.000050,0.003159,0.010356,0.000025
249,0.003140,0.010476,0.000047,0.003140,0.010476,0.000026
250,0.003195,0.010394,0.000055,0.003195,0.010394,0.000026
251,0.003189,0.010289,0.000049,0.003189,0.010289,0.000029
252,0.003212,0.010793,0.000065,0.003212,0.010793,0.000030
253,0.002773,0.009606,0.000052,0.002773,0.009606,0.000025
254,0.002914,0.009554,0.000046,0.002914,0.009554,0.000026
255,0.002956,0.009999,0.000059,0.002956,0.009999,0.000023
256,0.003200,0.010901,0.000049,0.003200,0.010901,0.000027
257,0.003398,0.011089,0.000049,0.003398,0.011089,0.000026
258,0.003378,0.010845,0.000068,0.003378,0.010845,0.000027
259,0.003134,0.010867,0.000049,0.003134,0.010867,0.000026
260,0.003150,0.010544,0.000046,0.003150,0.010544,0.000023
261,0.003117,0.009955,0.000047,0.003117,0.009955,0.000025
262,0.003004,0.009905,0.000047,0.003004,0.009905,0.000023
263,0.003097,0.009920,0.000045,0.003097,0.009920,0.000024
264,0.003022,0.009677,0.000048,0.003022,0.009677,0.000027
265,0.002960,0.009909,0.000044,0.002960,0.009909,0.000024
266,0.002868,0.009727,0.000050,0.002868,0.009727,0.000026
267,0.002966,0.009970,0.000049,0.002966,0.009970,0.000024
