Iteration,Encapsulation (microseconds),AES256 Encryption (microseconds),Decapsulation (microseconds),AES256 Decryption (microseconds)
872,1461,133,1674,170
873,1452,134,1730,164
874,1400,134,1679,170
875,1402,134,1729,168
876,1466,140,1673,169
877,1400,135,1739,171
878,1399,187,1682,165
879,1405,134,1760,164
880,1398,133,1706,166
881,1406,191,1677,170
882,1438,143,1668,170
883,1398,134,1671,170
884,1453,134,1679,170
885,1439,135,1674,164
886,1400,140,1713,165
887,1429,141,1762,163
888,1480,134,1670,166
889,1410,140,1713,169
890,1400,224,1669,170
891,1394,133,1707,163
892,1406,140,1761,168
893,1400,133,1762,165
894,1442,134,1668,165
895,1442,133,1670,170
896,1412,133,1706,164
897,1407,135,1678,167
898,1427,137,1674,165
899,1412,134,1706,165
900,1398,135,1738,164
901,1404,140,1735,163
902,1400,175,1670,165
903,1408,134,1705,169
904,1404,135,1761,165
905,1401,135,1673,171
906,1462,133,1674,205
907,1409,140,1714,165
908,1407,139,1674,167
909,1452,134,1682,165
910,1399,208,1704,171
911,1400,140,1702,164
912,1407,135,1671,165
913,1400,135,1730,172
914,1402,141,1726,164
915,1401,134,1718,164
916,1404,135,1705,165
917,1398,200,1668,164
918,1431,134,1678,163
919,1396,134,1725,166
920,1467,134,1724,165
921,1455,135,1679,164
922,1394,135,1744,164
923,1403,170,1709,166
924,1405,181,1744,165
925,1403,134,1670,167
926,1405,134,1707,171
927,1404,187,1674,168
928,1470,139,1669,173
929,1406,136,1750,166
930,1425,140,1736,170
931,1394,181,1678,165
932,1459,134,1673,166
933,1407,134,1672,171
934,1400,134,1669,165
935,1407,134,1728,168
936,1406,135,1709,173
937,1399,134,1674,173
938,1406,136,1668,166
939,1450,140,1677,167
940,1400,134,1756,164
941,1412,134,1679,164
942,1453,141,1668,172
943,1401,134,1707,167
944,1408,134,1677,165
945,1408,143,1731,165
946,1430,134,1727,173
947,1407,142,1712,171
948,1402,134,1669,166
949,1405,141,1715,167
950,1405,141,1673,172
951,1442,134,1767,173
952,1439,134,1707,166
953,1404,211,1679,164
954,1404,134,1705,167
955,1398,197,1670,167
956,1399,140,1719,170
957,1461,140,1744,171
958,1470,133,1678,165
959,1454,134,1676,166
960,1399,140,1674,166
961,1427,133,1712,165
962,1450,133,1681,165
